N,종목명,닉네임,작성시간,제목,내용,크롤링일자,형태소,긍정_형태소_수,부정_형태소_수,중립_형태소_수,감성_점수,감성,신뢰도
483,하이트진로,철이다,3분 전,진로,남들 다갈때 이놈은 소주 맥주 짬뽕해서 만이 마셨는가 정신을 못차리네요~ㅠㅠ,2026-02-11 13:43:13,"남들, 다갈때, 이놈은, 소주, 맥주, 짬뽕해서, 만이, 마셨는가, 정신을, 못차리네요",0,1,9,-1,부정,0.1
484,KODEX 200선물인버스2X,니나노888,3분 전,야수의 심장으로 매수한다는 주식 명언이 있지?,지금의 곱버스는?? 짐승의 심장으로 매수하는거다 이해하냐 곱등아?,2026-02-11 13:43:13,"지금의, 곱버스는, 짐승의, 심장으로, 매수하는거다, 이해하냐, 곱등아",1,0,6,1,긍정,0.143
485,흥구석유,착한사람,3분 전,흥,흥 흥구야 잉 다시 만 삼천원대로 가자 잉 백주 삽입하게 잉 흥구 멍구 황구 신나 발라서 삽입 퐁 퐁 찌르게 잉 ㅎㅎ,2026-02-11 13:43:13,"흥구야, 다시, 삼천원대로, 가자, 백주, 삽입하게, 흥구, 멍구, 황구, 신나",1,0,12,1,긍정,0.077
486,두산에너빌리티,매너있는잔고영웅,3분 전,지금 못 잡으면 오후엔 추격입니다,1시 이후 버티는 종목은 더 갑니다,2026-02-11 13:43:14,"이후, 버티는, 종목은, 갑니다",1,0,3,1,긍정,0.25
487,롯데쇼핑,장투인듯장투아닌단타같은나,3분 전,12 고점 매도 승리자,축하드립니다 고점찍고 이제 하락 시작이네요. 현백 폭락 이마트 롯쇼 긴 윗꼬리 형성 전형적인 고점패턴... 고점 매도자분들 축하드립니다 K국장은 줄때 먹는것이 승리자. 저점매수 기회 매번 오거든요...,2026-02-11 13:43:14,"축하드립니다, 고점찍고, 이제, 하락, 시작이네요, 현백, 폭락, 이마트, 롯쇼, 윗꼬리",2,3,19,-3,부정,0.208
488,아크릴,라파엘라,3분 전,단기 8만짜리다,ㅉㅉ 매도하면 베아플걸 ㅋㅋ,2026-02-11 13:43:14,"매도하면, 베아플걸",0,1,1,-1,부정,0.5
489,실리콘투,김뻥투기,3분 전,솔직히 이종목은 중간이없음,실적잘나오면 20% 조금이라도 빗나가면 -20% 참고로 2연벙 당해봄,2026-02-11 13:43:14,"실적잘나오면, 조금이라도, 빗나가면, 참고로, 연벙, 당해봄",0,0,6,0,중립,0.0
490,두산퓨얼셀,신중하자한방이다,3분 전,곧 출발한다,ㅋㅋㅋㅋㅋㅋㅋㅋ,2026-02-11 13:43:14,,0,0,0,0,중립,0.0
491,서남,마이튜러,3분 전,상온초전도체 개발했다면,대방인데 말이쥐`,2026-02-11 13:43:15,"대방인데, 말이쥐",0,0,2,0,중립,0.0
492,현대ADM,nan바람소리,3분 전,내일 은 상간다,내일은. 상 가자,2026-02-11 13:43:15,"내일은, 가자",1,0,1,1,긍정,0.5
493,톱텍,Thdhhdjjxhx,3분 전,재무로 보면 이 기업은 침몰하는 중임,재무 좋을때도 주가는 바닥이었음 코스닥 천시대에 아직도 600대에 살고 있는 톱텍,2026-02-11 13:43:15,"재무, 좋을때도, 주가는, 바닥이었음, 코스닥, 천시대에, 아직도, 대에, 살고, 있는",1,0,10,1,긍정,0.091
494,네이처셀,후이아이,3분 전,게시판에 공매도가 어딨냐 ㅌㅋㅋ,돈많고 똑똑한 집단인데 ㅋㅋㅋㅋ 구정쉬고 실망매물 가주아 !!!!,2026-02-11 13:43:15,"돈많고, 똑똑한, 집단인데, 구정쉬고, 실망매물, 가주아",0,1,5,-2,부정,0.167
495,앱코,30프로,3분 전,앱코 폭등할거같다,상승 여력 : 서울시장 정치 테마주 고배당주 동전주 자사주 소각 흑자전환 하락 여력 : 4분기 실적 결론 : 6월 지방 선거철에 폭등각이다,2026-02-11 13:43:16,"상승, 여력, 서울시장, 정치, 테마주, 고배당주, 동전주, 자사주, 소각, 흑자전환",3,1,14,5,긍정,0.222
496,OCI홀딩스,대표학벌이주가핵심,3분 전,실적도 없고 부실기업 인수했지! 할만큼 했어 PBR0 7 이제 팔고떠나라,ㅋㅋㅋㅋㅋ,2026-02-11 13:43:16,,0,0,0,0,중립,0.0
497,한미반도체,푸른바다푸른하늘이,3분 전,낼옵션만기,이기도 하구 억지로 죄금 누르네 명절 지나야 되긋네 ㅎ,2026-02-11 13:43:16,"이기도, 하구, 억지로, 죄금, 누르네, 명절, 지나야, 되긋네",0,0,8,0,중립,0.0
498,현대차,의리없는똥괭이,3분 전,내 살다살다 외국인이 개미한테 깨진 종목은 처음봤다. 현대차 대단하네..,개미 큰손인가?,2026-02-11 13:43:16,"개미, 큰손인가",1,0,1,2,긍정,0.5
499,에이비엘바이오,대변감별사,3분 전,회사 IR담당과 통화해보면 알수있다@,"기술이 진짜라고 확신했고 가치는 곧 드러날거다. 삼천당, 한미렁 비교해 보면 알거다.",2026-02-11 13:43:17,"기술이, 진짜라고, 확신했고, 가치는, 드러날거다, 삼천당, 한미렁, 비교해, 보면, 알거다",1,0,9,2,긍정,0.1
