N,종목명,닉네임,작성시간,제목,내용,크롤링일자,형태소,긍정_형태소_수,부정_형태소_수,중립_형태소_수,감성_점수,감성,신뢰도
295,한전산업,대체,2분 전,못가는,뒈체 왜 못가지? 징하다 빨리올려라,2026-02-11 13:42:18,"뒈체, 못가지, 징하다, 빨리올려라",0,1,3,-1,부정,0.25
296,JYP Ent.,레골라스,2분 전,72000원에 12월에 사서 여태 들고있는데,참나 수수료도 안나오네;;;;;;;;;;;; 어이가 없네........ 나갈까 그냥 나가는거 추천 '좋아요' 좀더버텨요 추천 '나빠요',2026-02-11 13:42:18,"참나, 수수료도, 안나오네, 어이가, 없네, 나갈까, 그냥, 나가는거, 추천, 좋아요",1,3,9,-2,부정,0.308
297,우리기술,사교적인매도히어로,2분 전,대박이긴한듯,".,.,.,.,...... 덕분에 감사합니다 .,.,.,.,......",2026-02-11 13:42:18,"덕분에, 감사합니다",0,0,2,0,중립,0.0
298,아크릴,qleldh10,2분 전,수익율,고점까지는 간다고 보고 매수 바람,2026-02-11 13:42:19,"고점까지는, 간다고, 보고, 매수, 바람",1,0,4,1,긍정,0.2
299,두산에너빌리티,K개미는대단함ㅋ,2분 전,우리기술 상 ㅅ ㅅ ㅅ ㅅ ㅅ ㅅ ㅅ,ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ꺼어어어억,2026-02-11 13:42:19,꺼어어어억,0,0,1,0,중립,0.0
300,LG디스플레이,vlg,2분 전,죽치고 있는 공매군을 향하여 천무5 발사!,발사! 발사! 발사!,2026-02-11 13:42:19,"발사, 발사, 발사",0,0,3,0,중립,0.0
301,롯데쇼핑,까나리액젓같네,2분 전,아쉽네여 유감입니다,음봉전환 되는거 아닌지? 그간 상승기울기가 높아서 피로한계에 다달았다고 하니 개미님들이 개거품을 물고 ZR을 하시는거 보니깐 더더 피곤하네여,2026-02-11 13:42:26,"음봉전환, 되는거, 아닌지, 그간, 상승기울기가, 높아서, 피로한계에, 다달았다고, 하니, 개미님들이",3,0,13,6,긍정,0.188
302,SK이터닉스,거래폭발,2분 전,욕심내지 말기,비중잡은거 지키고 아랫단 불타기 호가만 보고 안 주면 말고 날라가는거 없음,2026-02-11 13:42:26,"비중잡은거, 지키고, 아랫단, 불타기, 호가만, 보고, 주면, 말고, 날라가는거, 없음",0,1,9,-1,부정,0.1
303,스피어,애교있는투자소식타조,2분 전,이번주 2만원대로 돌아갈듯,헐..ㅋㅋㅋ 개떨어지네,2026-02-11 13:42:27,개떨어지네,1,0,0,2,긍정,1.0
304,두산에너빌리티,JustDoIt2025,2분 전,심장 터질 꺼 같아.. 빨리좀 어떻게 해봐,미칠꺼 같아....밥 생각도 안나. 아무것도 못하겠어....,2026-02-11 13:42:27,"미칠꺼, 같아, 생각도, 안나, 아무것도, 못하겠어",0,2,4,-2,부정,0.333
305,이마트,세력이기는개미,2분 전,공매풀베감ㅋ,간만에 공매로 돈벌자,2026-02-11 13:42:27,"간만에, 공매로, 돈벌자",0,0,3,0,중립,0.0
306,핀텔,샀다하면따블,2분 전,핀텔 투자사 4연상중 ㅋㅋ,아무래도 냄새난다 자료수집해서 신고해야겠다,2026-02-11 13:42:27,"아무래도, 냄새난다, 자료수집해서, 신고해야겠다",0,0,4,0,중립,0.0
307,뉴로핏,완전한상승테마킹,2분 전,제바는 원래 이런거지,흐름이 상승할 가능성이 높아 투자하긴 좋은데 시총이작아 변동성이 클뿐 생각한데로만 버티고 잘 가면 될듯,2026-02-11 13:42:27,"흐름이, 상승할, 가능성이, 높아, 투자하긴, 좋은데, 시총이작아, 변동성이, 클뿐, 생각한데로만",2,0,11,3,긍정,0.154
308,LS네트웍스,진심투자자,2분 전,ls계열은 눈도 돌리지 마라,빤스런하는 넘들이 너무 많다 gs로~~^^,2026-02-11 13:42:27,"빤스런하는, 넘들이, 너무, 많다",0,0,4,0,중립,0.0
309,삼성전자,산바닷,2분 전,텨~~,떨어지기전에 지금 텨~~!,2026-02-11 13:42:28,"떨어지기전에, 지금",0,1,1,-2,부정,0.5
310,삼표시멘트,man4c,2분 전,오늘은 이정도만 해도 볼만하것어,ㅋㅋㅋㅋㅋ,2026-02-11 13:42:28,,0,0,0,0,중립,0.0
311,LG에너지솔루션,도람푸우,2분 전,"lg에너지솔루션, 로봇 업체 6곳에 배터리 공급..""북미 ev 자산 활용해 ess 수요 맞출 것""","김동명 lg엔솔 사장 ""북미 ev 자산 활용해 ess 수요 맞출 것"" [시대 정연 기자] 김동명 lg에너지솔루션 사장이 ""북미 ev(전기차) 생산 라인을 활용해 급성장하는 에너지저장장치(ess) 수요를 흡수할 계획""이라고 11일 밝혔다. 김 사장은 이날 jw메리어트호텔 서울에서 열린 2026년 한국배터리산업협회 이사회·총회 참석 전에 기자들과 만나 ""수주·개발·생산 활동 세 가지를 열심히 해 최대한 실적향상에 대한 자신감"" 을 밝혔다. lg에너지솔루션은 최근 글로벌 완성차업체 스텔란티스와의 캐나다 합작법인 '넥스트스타 에너지'를 100% 자회사로 전환했다. 리튬·인산·철(lfp) 배터리 소재 국산화 전략에 대해선 ""국내에 lfp 케미스트리를 생산하려는 업체들이 많이 있는데 이 중에서 엘앤에프와 협력하려고 한다""며 ""북미산 쪽으로 적용하기 위해 노력하고 있다""고 했다. 로봇 업체들과의 협력도 공고히 할 방침이다. lg에너지솔루션은 로봇 업체 6곳에 배터리를 공급한다고 밝힌 바 있다. 김 사장은 ""현재 대부분이 알고 있는 로봇 업체들과 관계를 맺고 있는데 주로 원통형 배터리를 채택한다""며 ""에너지 고밀도, 고출력이 필요한 경우도 있어서 궁극적으로는 전고체 전지 쪽으로 가야 할 것 같다""고 말했다.",2026-02-11 13:42:28,"김동명, 엔솔, 사장, 북미, 자산, 활용해, 수요, 맞출, 시대, 정연",2,1,121,2,긍정,0.024
312,에코프로,꿀꾸리꾸에엑꿀꿀,2분 전,아직도,빌빌되고 있네,2026-02-11 13:42:28,"빌빌되고, 있네",0,0,2,0,중립,0.0
313,한화오션,ㄱㄴㄷ,2분 전,목 금 코스피 신고가,이재며 정부는 설 민심을 잡기위해 코스피를 최고가로 올리는건 다들 아실겁니다. 이래저래 결국 연기금은 박살나고 신규 진입하거나 밪투한 개미들도 같이 박살날겁니다. 각자 알아서 적당히 먹고 미국으로 튀세요. 세수가 부족해서 빚내고 이런저런 세금을 부과할거고 물가는 상승하고 일자리는 줄어들어 결국 힘들어질텐데..미래를 잘 준비하시길..,2026-02-11 13:42:28,"이재며, 정부는, 민심을, 잡기위해, 코스피를, 최고가로, 올리는건, 다들, 아실겁니다, 이래저래",3,2,34,0,긍정,0.128
314,현대ADM,어서요서방님,2분 전,수급분석,주주들이 해보면 참좋을낀데~든든하낀데~안불안할낀데~안털릴낀데~,2026-02-11 13:42:28,"주주들이, 해보면, 참좋을낀데, 든든하낀데, 안불안할낀데, 안털릴낀데",1,2,3,-2,부정,0.5
315,삼성전자,리박스쿨자유대학빤쓰동아리,2분 전,국힘이 윤석렬 버리면 신천지교도들은 낙동강오리알?,빤쓰사랑제일교회 은평폭행제일교회 부산세계로살인교회 천정궁도박교 정명석교미교회 신도들은 뭐가되냐? 낙동강 오리알 신세냐?,2026-02-11 13:42:29,"빤쓰사랑제일교회, 은평폭행제일교회, 부산세계로살인교회, 천정궁도박교, 정명석교미교회, 신도들은, 뭐가되냐, 낙동강, 오리알, 신세냐",0,0,10,0,중립,0.0
316,KODEX 코스닥150,배나드리,2분 전,1880을 누리자,3000까지 1880남았다.,2026-02-11 13:42:29,"까지, 남았다",0,0,2,0,중립,0.0
317,현대ADM,K황태자,2분 전,♡제2의 신라젠♡,똑같은 패턴,2026-02-11 13:42:29,"똑같은, 패턴",0,0,2,0,중립,0.0
318,현대ADM,데스나이트,2분 전,거래량 3600만 ㄷㄷ,종가가 궁금하네요 ㅎ,2026-02-11 13:42:29,"종가가, 궁금하네요",0,0,2,0,중립,0.0
319,서남,성장하는주도주금손,2분 전,⚡월 5천 충분히 가능🚨따라만 오세요~,📌장인의힘📌장인의힘📌🌿텔🌿📌장인의힘📌장인의힘📌,2026-02-11 13:42:29,"장인의힘, 장인의힘, 장인의힘, 장인의힘",0,0,4,0,중립,0.0
320,프리엠스,혼솔,2분 전,한번만보아주세요~간청드립니다,https://petitions.assembly.go.kr/proceed/onGoingAll/48D00A5CC21244EBE064ECE7A7064E8B 무자본 갭투기 기업사냥꾼 행위로부터 소액주주 보호 제도개선 요청안 입니다 동의 좀 부탁드려요 비회원으로도 동의 가능합니다,2026-02-11 13:42:29,"무자본, 갭투기, 기업사냥꾼, 행위로부터, 소액주주, 보호, 제도개선, 요청안, 동의, 부탁드려요",1,1,11,1,긍정,0.154
321,삼성중공업,듀린이,2분 전,"31,600원에 매수한 내가 너무",짜친다...............ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,2026-02-11 13:42:29,짜친다,0,0,1,0,중립,0.0
322,이마트,RIS이,2분 전,호들갑은,충당금 쌓아서 일부러 적자 만들었구만... 예상했던 시나리오인데,2026-02-11 13:42:30,"충당금, 쌓아서, 일부러, 적자, 만들었구만, 예상했던, 시나리오인데",0,1,6,-2,부정,0.143
323,이마트,이타적삶,2분 전,진짜 무서운 인간들 ㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2026-02-11 13:42:30,,0,0,0,0,중립,0.0
324,보성파워텍,인생역전,2분 전,개잡주 매수 금지령 매수 하는순간 쳐물린다,개잡주다 개집주다 개잡주다,2026-02-11 13:42:30,"개잡주다, 개집주다, 개잡주다",3,0,0,6,긍정,1.0
325,NHN KCP,햇보리,2분 전,그러닌낀 결국은 법안이 통과가 안된것이네.,민주당 넘들 니들 선거때 보자.,2026-02-11 13:42:30,"민주당, 넘들, 니들, 선거때, 보자",0,0,5,0,중립,0.0
326,삼성전자,동천왕,2분 전,이상한 시장,코스피 -40까지 하락할 당시 종목들 수익 합계보다 지금 삼성전자 겨우 1% 정도 올랐을 뿐인데 지수는 60-70 상승으로 반전하였고 수익 합계는 오히려 줄었네요. 4천피 5천피가 될수록 시장은 갈수록 이상한 방향으로 가는건 분명한듯.,2026-02-11 13:42:30,"코스피, 까지, 하락할, 당시, 종목들, 수익, 합계보다, 지금, 삼성전자, 겨우",4,1,24,7,긍정,0.172
327,현대차,본죽,2분 전,로스컷 너무 대놓고 보여주는거 아니냐,ㅋㅋㅋㅋㅋ똑같은 자리에서 발악하네,2026-02-11 13:42:31,"똑같은, 자리에서, 발악하네",0,0,3,0,중립,0.0
328,삼표시멘트,kZd,2분 전,삼표시멘트 공매도 세력 리포트 떳네요,"아직도 모르고 있다면 기회 놓치고 있는겁니다. 삼표시멘트 주주방에서 진지하게 소통하고 있습니다. 광고,분탕 절대 오지마세요 https://journal94479.tistory.com/1?n=kBP",2026-02-11 13:42:31,"아직도, 모르고, 있다면, 기회, 놓치고, 있는겁니다, 삼표시멘트, 주주방에서, 진지하게, 소통하고",0,0,14,0,중립,0.0
329,롯데하이마트,kkkk111,2분 전,뭔 일이에요?,띠링하고 봤더니 본전 왔다가 내려갔네요. 미쵸... 다시 1만원 올까요? 제발요.,2026-02-11 13:42:31,"띠링하고, 봤더니, 본전, 왔다가, 내려갔네요, 미쵸, 다시, 만원, 올까요, 제발요",0,1,9,-2,부정,0.1
330,두산에너빌리티,Yejh01,2분 전,!,드디어 8자 보게되는가 ㆍㅎㅎ ㅎ,2026-02-11 13:42:31,"드디어, 보게되는가",0,0,2,0,중립,0.0
331,대호에이엘,bdbdiou,2분 전,종가에 살사람 ㅋ,수두룩 하고마이 ㅋ,2026-02-11 13:42:31,"수두룩, 하고마이",0,0,2,0,중립,0.0
332,플레이그램,jch9008,2분 전,태평양 심해바다냐?,너무하네 ㅋㅋ 걍 나와라 호흡기 멈췄다 ㅋㅋ,2026-02-11 13:42:32,"너무하네, 나와라, 호흡기, 멈췄다",0,0,4,0,중립,0.0
333,KODEX 200선물인버스2X,세이프,2분 전,700원에 산사람들,100% 올라야 본전이구먼 다들 자기 가격 인지는 하구이찌??,2026-02-11 13:42:32,"올라야, 본전이구먼, 다들, 자기, 가격, 인지는, 하구이찌",1,0,6,2,긍정,0.143
334,알테오젠,seve,2분 전,올해도 배당 주더라도.,회사 하는 꼬라지 보면 배당락이 더 큰 회사가 될꺼야.ㅋㅋㅋㅋㅋ 주주환원 같은 소리하고있네. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 드러웠다~ 간다~,2026-02-11 13:42:32,"회사, 하는, 꼬라지, 보면, 배당락이, 회사가, 될꺼야, 주주환원, 같은, 소리하고있네",1,0,11,2,긍정,0.083
335,카카오뱅크,apt2107,2분 전,자 이제 시작이야 ~~,3만 가즈아~~~^,2026-02-11 13:42:32,가즈아,1,0,0,2,긍정,1.0
336,LG전자,정직한급등추세안내자,2분 전,LG전자 //// 20퍼 가나????,참고 부탁드립니다 ^&^ 78899,2026-02-11 13:42:32,"참고, 부탁드립니다",0,0,2,0,중립,0.0
337,이노테크,신중한매매,2분 전,아크릴봐라,신규상장주는 테마붙으면 저리 가볍게 날라가는거다 이노는 뭐하니?? 언제까지 바닥에서 빌빌댈래??,2026-02-11 13:42:32,"신규상장주는, 테마붙으면, 저리, 가볍게, 날라가는거다, 이노는, 뭐하니, 언제까지, 바닥에서, 빌빌댈래",0,0,10,0,중립,0.0
338,알파벳 Class A,구글링,2분 전,현재만보면 미친 한국주식,하루세 상한가 30퍼 되는게 계속나오고 몇년동안 안오르던 전자 원전 쇼핑 차 금융까지 두달사이 폭등 . . . 하지만 장기투자는 미주식 .,2026-02-11 13:42:33,"하루세, 상한가, 되는게, 계속나오고, 몇년동안, 안오르던, 전자, 원전, 쇼핑, 금융까지",2,2,11,4,긍정,0.267
339,SK하이닉스,우리주,2분 전,이유가 있죠!! sk나쁜넘들,익절이다 익절 더럽다 진짜,2026-02-11 13:42:33,"익절이다, 익절, 더럽다, 진짜",0,0,4,0,중립,0.0
340,에코프로,깜뎅이,2분 전,왕창,사줄게 5만원오면 하하,2026-02-11 13:42:33,"사줄게, 만원오면, 하하",0,0,3,0,중립,0.0
341,삼표시멘트,0HP,2분 전,앞으로,삼표시멘트 주주방에서 이야기 되고 있는 내용이네요. 앞으로 영향이 클것같은데 참고하시고 판단에 도움되시길 https://journal94479.tistory.com/1?n=lIo,2026-02-11 13:42:33,"삼표시멘트, 주주방에서, 이야기, 되고, 있는, 내용이네요, 앞으로, 영향이, 클것같은데, 참고하시고",0,0,12,0,중립,0.0
342,우리기술투자,하쿠놔,2분 전,쏟아진다~~ㅋㅋㅋ,튀어이~~~잇,2026-02-11 13:42:33,튀어이,0,0,1,0,중립,0.0
343,두산에너빌리티,oiltank7,2분 전,서남해 해상풍력 이르면 2월말 입찰,8.000억 규모 경쟁 기업은 조그마한 규모의 회사와 경쟁입찰 수주 확를이 높구나,2026-02-11 13:42:34,"규모, 경쟁, 기업은, 조그마한, 규모의, 회사와, 경쟁입찰, 수주, 확를이, 높구나",0,0,10,0,중립,0.0
344,현대글로비스,자유자본주의대한민국만만만세,2분 전,의선,형님 현차 그룹 현차 주당 2~3주 현글이 주당 5주씩 무상증자 & 액면분할 갑시다요 네? 분명히 한두달만에 현 주가로 올라올겁니다 녜? 지금이 바로 절호의 기회 입니다,2026-02-11 13:42:34,"형님, 현차, 그룹, 현차, 주당, 현글이, 주당, 주씩, 무상증자, 액면분할",2,0,17,3,긍정,0.105
345,삼표시멘트,아씨발기훈이형,2분 전,으이그 내가 몇번을 말하냐,"내가 월욜에 팔라 했어? 안했어? 오전에 반짝 올랐다고 반등이네 뭐네 흥분들 하기는 ㅉㅉ 14,000원에서 입벌리고 대기하고 있을께~~",2026-02-11 13:42:34,"내가, 월욜에, 팔라, 했어, 안했어, 오전에, 반짝, 올랐다고, 반등이네, 뭐네",1,1,14,1,긍정,0.125
346,카카오페이,니애미애비쥴리두창,2분 전,찬티 여러분 고개드세요,찬티 여러분 고개드세요! 당신 오늘은 마이너스 아닙니다 고개드세요 찬티 여러분!!,2026-02-11 13:42:34,"찬티, 여러분, 고개드세요, 당신, 오늘은, 마이너스, 아닙니다, 고개드세요, 찬티, 여러분",2,0,8,4,긍정,0.2
347,에스피소프트,머스마야,2분 전,이건 해도해도 너무하네.,2년이 넘도록 물타고 또 물타고. 아직도 보이지도 않는 저 아늑히 먼 꼭대기가 내 평단가다. 이건 뭐 손실도 어느정도지 장장 2년이라는 기다림이 허망하다...,2026-02-11 13:42:39,"년이, 넘도록, 물타고, 물타고, 아직도, 보이지도, 않는, 아늑히, 꼭대기가, 평단가다",0,3,14,-6,부정,0.176
348,아크릴,Genius,2분 전,시총 한 2조??,까지 직행하고 조정좀 하고 바로 5조클럽으로 갈듯. 올해 10조까지 가봅시다. 굿럭 !!!,2026-02-11 13:42:39,"까지, 직행하고, 조정좀, 하고, 바로, 조클럽으로, 갈듯, 올해, 조까지, 가봅시다",1,1,9,0,중립,0.182
349,두산에너빌리티,덕화님,2분 전,파는 개미들은 주식 왜하냐,쌍끌이 매수에 호실적 발표날인데 왜 파는건지....외인들은 3일째 매집중인데...하도 당해서 그런가?,2026-02-11 13:42:39,"쌍끌이, 매수에, 호실적, 발표날인데, 파는건지, 외인들은, 일째, 매집중인데, 하도, 당해서",2,0,9,2,긍정,0.182
350,아이엠,주식어렵죠,2분 전,1년간 96퍼 폭락 정지 상페심사,1년간 96퍼 폭락할 동안 복합동박 뉴스 100번도 더냇음 이게 사기 아니면 머가 사기임 단하루도 상페정지 얘기 나온적없이 정지 당일 대주주 물량 전량 매도 장마감 정지 이런 경우도 있을까 이미 이것들은 일년간 상페작업 복합동박 뜰때인데 하루에 한번씩 뉴스내도 주가는 오르질 못함 누군가 계속 팔기만 했으니까 사기꾼들 꼭 10년이상 감방에 처박히길,2026-02-11 13:42:39,"년간, 폭락할, 동안, 복합동박, 뉴스, 번도, 더냇음, 이게, 사기, 아니면",0,6,41,-8,부정,0.128
351,스맥,창해일출,2분 전,스맥과 SNT홀딩스에 요청하였습니다.,"안녕하세요. 액트의 스맥소액주주연대 대표 창해일출입니다. 스맥과 SNT 홀딩스에 액트의 스맥소액주주 토론방 게시판에 자유 주제로 홍보글을 올려달라고 요청하였습니다. 글이 올라오면 보신후 소액주주 여러분의 향후 판단에 참고 하시기 바랍니다. 게시 기간, 게시 횟수에는 제한을 두지 않겠습니다.",2026-02-11 13:42:39,"안녕하세요, 액트의, 스맥소액주주연대, 대표, 창해일출입니다, 스맥과, 홀딩스에, 액트의, 스맥소액주주, 토론방",2,2,29,1,긍정,0.121
352,SK하이닉스,물삠,2분 전,와…오늘도 단타로먹음,872000원에 매도걸어놓고 일하는데 ㅋㅋㅋ또 체결 어제도 905000에 매도하고 단타한지 얼마안됫는데 진짜 적중잘되네 ㅋㅋ 사랑해요 하이닉스~~ㅋㅋㅋㅋㅋ,2026-02-11 13:42:40,"원에, 매도걸어놓고, 일하는데, 체결, 어제도, 매도하고, 단타한지, 얼마안됫는데, 진짜, 적중잘되네",0,3,9,-3,부정,0.25
353,현대차,촉좋은급등베테랑,2분 전,내일 숏커버링? 상승 가자~,오늘부터 외인들 숏커버링 들어오나보다 좀더 오르면 커버 힘들듯하니 이제 올라 타는듯,2026-02-11 13:42:40,"오늘부터, 외인들, 숏커버링, 들어오나보다, 좀더, 오르면, 커버, 힘들듯하니, 이제, 올라",2,0,9,3,긍정,0.182
354,SK하이닉스,달려라주식,2분 전,다 삼전으로,심전 20 만들자,2026-02-11 13:42:40,"심전, 만들자",0,0,2,0,중립,0.0
355,카카오뱅크,데이짱,3분 전,28200원 돌파하고 29층 부근오면 돌파 스캘퍼 온다,지금은 거래대금이 부족하다 메릴린치 단타 창구야 얼른 끌어올려야 지들이 매도 하는 알고리즘인데,2026-02-11 13:42:40,"지금은, 거래대금이, 부족하다, 메릴린치, 단타, 창구야, 얼른, 끌어올려야, 지들이, 매도",0,1,11,-1,부정,0.083
356,LG전자,시황흐름주,3분 전,여러분.. 숏커버 안보이십니까...,제 이전글 확인해보시죠..,2026-02-11 13:42:40,"이전글, 확인해보시죠",0,0,2,0,중립,0.0
357,에스앤에스텍,cwy7789,3분 전,나의 예약매도는 교과서다,그대로 밀어라,2026-02-11 13:42:41,"그대로, 밀어라",0,0,2,0,중립,0.0
358,흥아해운,리치코,3분 전,어제 처럼 2분만에 말아 올려봐라,세력들 니들 인정해줄께 1900원 찍어봐라,2026-02-11 13:42:41,"세력들, 니들, 인정해줄께, 찍어봐라",0,0,4,0,중립,0.0
359,한양이엔지,해도된다,3분 전,액티브 펀드 출시 뉴스.............................,"3월 중 출시 확정 확정 단계: 타임폴리오자산운용(3월초확정), 삼성액티브자산운용, 한화자산운용. 검토 단계: 미래에셋자산운용, 한국투자신탁운용, 키움투자자산운용 등도 지수형 및 테마형 신규 상품 출시를 검토 중 자산운용사는 코스닥에서 반도체.우주.원전 실적 가지고 있는.. 심지어 저평가... 심지어 이익잉여금이 시총보다 더 많은 6천억원대인 반도체. 우주항공 기업이 저퍼인.. 한양이엔지 etf에 편입 시켜야 실력 입증 가능한 상황이 되버림. 3월 초 etf출시시 2월중부터 물량확보 작업 시작(시딩) 공매도가 이유도 없이 적극적으로 누르는 작업하고 있는 상황이지만 (이유 혹시 모두가 아는 그거??) 지금 부터는 이조차 어려워짐 고객 예탁금 백조 대기. 한양이엔지 시총 1조 이상으로 리레이팅",2026-02-11 13:42:41,"출시, 확정, 확정, 단계, 타임폴리오자산운용, 월초확정, 삼성액티브자산운용, 한화자산운용, 검토, 단계",1,3,74,-2,부정,0.051
360,포바이포,hamgedoe,3분 전,이렇게 한 번씩 팍 떨궈주면 매수세 더 붙음,그게 지지라인이 되는 거임 ㅋ 일부러 떨구는 거거든~ 이럴 때 털리는 애들을 호구라 하는 거,2026-02-11 13:42:41,"그게, 지지라인이, 되는, 거임, 일부러, 떨구는, 거거든, 이럴, 털리는, 애들을",0,0,12,0,중립,0.0
361,알테오젠,애킨슨,3분 전,회사욕,왜 하는거냐 이벌거지들아 10년간 7000%올랐다 ㅡㅡ 주구장창 오르기만 한 주식에서 니들이 돈 잃었단건 그냥 니들지능문제야,2026-02-11 13:42:41,"하는거냐, 이벌거지들아, 년간, 올랐다, 주구장창, 오르기만, 주식에서, 니들이, 잃었단건, 그냥",0,1,10,-1,부정,0.091
362,한국전력,보이스,3분 전,아고 엉덩이 겁나 무겁네,한전산업은 쉽게 가는구만 기건 뭐 땅에 껌붙여놨나,2026-02-11 13:42:42,"한전산업은, 쉽게, 가는구만, 기건, 땅에, 껌붙여놨나",0,0,6,0,중립,0.0
363,삼영,기쁜차트맛영웅,3분 전,확인 하셔야 됩니다,222134,2026-02-11 13:42:42,,0,0,0,0,중립,0.0
364,티앤알바이오팹,찬티마법사,3분 전,언제 오르냐,언제 오르냐,2026-02-11 13:42:42,오르냐,0,0,1,0,중립,0.0
365,앱튼,쉐력,3분 전,내가 추매해서 300원 이상 올려줄께...,1만주씩 10번 추매 들어간다...,2026-02-11 13:42:42,"만주씩, 추매, 들어간다",0,0,3,0,중립,0.0
366,뉴로메카,뭐라할가,3분 전,튀엇 끝났어,선 다 꺽임....,2026-02-11 13:42:42,꺽임,0,0,1,0,중립,0.0
367,SK이터닉스,RiNo,3분 전,차트 꼬라지보니 개미들 졸라있으니,졸라흔드나보네,2026-02-11 13:42:42,졸라흔드나보네,0,0,1,0,중립,0.0
368,덕신이피씨,우주깡통,3분 전,반도체 수주 떳으니,이제 원전 수주만 하나 더 떠주면 좋겠네,2026-02-11 13:42:43,"이제, 원전, 수주만, 하나, 떠주면, 좋겠네",1,0,5,1,긍정,0.167
369,한온시스템,해박한정보수사관,3분 전,오늘ㅎ ㅏ 루종일 48% 먹었네요,#141241 2,2026-02-11 13:42:43,,0,0,0,0,중립,0.0
370,비엘팜텍,럼프형,3분 전,어제 매도한 나에게 특급칭찬해.,탈출성공^-^,2026-02-11 13:42:43,탈출성공,1,0,0,2,긍정,1.0
371,현대차,css,3분 전,"현대차-엔비디아, GPU 이어 자율주행까지 '동맹 가속화'",11일 업계에 따르면 엔비디아는 연례 개발자 콘퍼런스 ‘GTC 2026’을 다음 달 16일(현지시간) 미국에서 개막한다. 이 행사에서 엔비디아는 자율주행 인공지능(AI) 컴퓨팅 플랫폼 ‘드라이브(Drive AV)’와 자율주행 학습을 위한 시뮬레이션 프로그램 ‘옴니버스(Omniverse)’와 ‘코스모스(Cosmos)’ 등을 선보일 예정이다. https://share.google/YU8XV3MkkZAqCziuJ,2026-02-11 13:42:43,"업계에, 따르면, 엔비디아는, 연례, 개발자, 콘퍼런스, 다음, 현지시간, 미국에서, 개막한다",2,0,25,4,긍정,0.074
372,OCI홀딩스,유리멘탈,3분 전,마지막 개미털기 구간...,속는 바보가 어딨노 ㅋㅋㅋㅋ,2026-02-11 13:42:43,"속는, 바보가, 어딨노",0,1,2,-2,부정,0.333
373,SK하이닉스,사이몽,3분 전,ㅅㅇㅅ,삼전 욕하는 닉스 개미들 니 계좌 까통,2026-02-11 13:42:43,"삼전, 욕하는, 닉스, 개미들, 계좌, 까통",1,0,5,2,긍정,0.167
374,에스피지,올상승,3분 전,올리는척할수도 있어요.,레인보우가 움직 잘 관찰하세요. 레인보우가 올라야 가는 패턴이라서요. 차트상로는 하락세 끝난거같은데. 자꾸 밑으로 가는거보면 매집 기분이 듭니다.,2026-02-11 13:42:44,"레인보우가, 움직, 관찰하세요, 레인보우가, 올라야, 가는, 패턴이라서요, 차트상로는, 하락세, 끝난거같은데",1,2,13,-1,부정,0.188
375,제일바이오,조용하게하자,3분 전,보합가자 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2026-02-11 13:42:44,,0,0,0,0,중립,0.0
376,우리기술,redocean,3분 전,게으른 거북이 까불지마라.,내 평균 매수 단가 3621원이니까!!,2026-02-11 13:42:44,"평균, 매수, 단가, 원이니까",1,0,3,1,긍정,0.25
377,삼성전자,Miracle7,3분 전,골드먼삭스 형이 돈버는거 배아파서 JP 모건까지 돈냄새 맡고 뒤늦게 추격매수하네 ㅋㅋㅋㅋ 끝났음 20만전자는 확정요 ^____^ 전군 진격하라,삼성에 영혼을 태아라 !!!,2026-02-11 13:42:44,"삼성에, 영혼을, 태아라",0,0,3,0,중립,0.0
378,제주반도체,햐ㅡㅡ주가관리안하냐,3분 전,엘지전자의 1분기 전망이 그리 좋은가? 제주반도체는 더 좋을텐데~~,"LG전자 (올해의 키워드: '수익성 회복' 및 'AI 재평가') 1분기 전망: 영업이익 1조 6,100억 원 으로 전년 대비 28% 증가 예상 (시장 기대치 17% 상회). 이번주 실적이던 잠정이던 나오고 봅시다~",2026-02-11 13:42:44,"전자, 올해의, 키워드, 수익성, 회복, 재평가, 분기, 전망, 영업이익, 전년",3,1,17,2,긍정,0.19
379,뉴로메카,GGAGGA,3분 전,또 사채발행한겨?,즐거운 설 보내자.,2026-02-11 13:42:44,"즐거운, 보내자",1,0,1,1,긍정,0.5
380,이마트,대주거래자입니다,3분 전,다 함께 외쳐봐요,니가 사면 떨어지는 주식~,2026-02-11 13:42:45,"니가, 사면, 떨어지는, 주식",0,1,3,-2,부정,0.25
